code_nsf,code_scolarite,sigle_type_formation,libelle_type_formation,libelle_formation_principal,sigle_formation,duree,niveau_de_sortie_indicatif,code_rncp,niveau_de_certification,libelle_niveau_de_certification,tutelle,url_et_id_onisep,domainesous-domaine
,,CPI,cycle préparatoire intégré,cycle préparatoire intégré ISIS - accès santé,ISIS,2 ans,bac + 2,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9248,"sciences/biologie | informatique, Internet/informatique (généralités) | santé, social, sport/santé (généralités) | information-communication, audiovisuel/technologies de l'information"
,,CPI,cycle préparatoire intégré,cycle préparatoire intégré de l'Icam Nantes - La prépa scientifique (prépa associée à un lycée partenaire) PTSI-PT,ICAM,2 ans,bac + 2,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9636,"matières premières, fabrication, industries/génie industriel | informatique, Internet/informatique (généralités) | sciences/mathématiques | sciences/physique"
320,,,formation d'école spécialisée,"communication, conseil et management",,1 an,bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.3548,"gestion des entreprises, comptabilité/administration de l'entreprise | information-communication, audiovisuel/communication"
220,,,diplôme d'ingénieur,diplôme d'ingénieur de l'Institut national des sciences appliquées de Toulouse spécialité génie physique,INSA,3 ans,bac + 5,34869,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.5303,"matières premières, fabrication, industries/matériaux | sciences/physique"
234,32123409,DMA,diplôme des métiers d'art,DMA lutherie,,2 ans,bac + 2,820,3,niveau 5,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.2818,"arts, culture, artisanat/artisanat d'art"
212,40321214,,baccalauréat professionnel,bac pro conduite d'activités d'élevage et d'hébergement dans le secteur canin-félin,,3 ans,bac ou équivalent,39155,4,niveau 4,Ministère de l'Agriculture et de la Souveraineté alimentaire,https://www.onisep.fr/http/redirection/formation/slug/FOR.9957,"agriculture, animaux/agriculture (généralités) | agriculture, animaux/élevage, aquaculture | agriculture, animaux/soins aux animaux"
,,mastère spé.,mastère spécialisé,mastère spé. responsable projet industrialisation cosmétique,,1 an,bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.7158,"sciences/chimie | santé, social, sport/esthétique | matières premières, fabrication, industries/études et développement | matières premières, fabrication, industries/fonction production (généralités) | matières premières, fabrication, industries/méthodes industrialisation"
310,,,formation d'école spécialisée,Bachelor of Science in International Marketing,,3 ans,bac + 3,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.10540,"information-communication, audiovisuel/communication | commerce, marketing, vente/marketing, vente"
311,56T31105,TP,titre professionnel,TP cariste d'entrepôt,,1 an,CAP ou équivalent,34857,5,niveau 3,"Ministère du travail, de l'emploi et du dialogue social",https://www.onisep.fr/http/redirection/formation/slug/FOR.3084,"mécanique/automatismes | logistique, transport/logistique"
251,17025015,,diplôme d'ingénieur,diplôme d'ingénieur de l'Institut national des sciences appliquées de Rennes spécialité génie mécanique et automatique,INSA,3 ans,bac + 5,4192,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.5556,"mécanique/automatismes | matières premières, fabrication, industries/études et développement | matières premières, fabrication, industries/matériaux | sciences/mathématiques | mécanique/mécanique (généralités) | matières premières, fabrication, industries/métallurgie, sidérurgie | matières premières, fabrication, industries/méthodes industrialisation"
